contrast,language,prompt,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value
(Claude-Opus-4) - (DeepSeek-V3-685B),EN,COT,-0.13490182222728908,0.23221735279994607,Inf,-0.8602872089306103,0.5904835644760321,-0.5809291192097356,1
(Claude-Opus-4) - (GPT-4o),EN,COT,1.1515638099877847,0.22283967686285802,Inf,0.4554717943611001,1.8476558256144693,5.167678513088539,2.6072150161230024e-6
(Claude-Opus-4) - (GPT-4o-mini),EN,COT,1.520915367926427,0.22343997123124923,Inf,0.8229481919928102,2.2188825438600435,6.806818670560762,1.496708472769241e-10
(Claude-Opus-4) - (Grok-3),EN,COT,0.871344015939445,0.22337789724343227,Inf,0.17357074267121453,1.5691172892076755,3.9007620122320055,8.630134352358338e-4
(Claude-Opus-4) - (Grok-4),EN,COT,-1.8715121462706708,0.26884731249194305,Inf,-2.7113198065712494,-1.0317044859700921,-6.96124550743559,5.733715852109851e-11
(Claude-Opus-4) - (LLaMA-3.3-70B),EN,COT,1.5873433697324832,0.22368462714113035,Inf,0.8886119536606575,2.286074785804309,7.096345377060595,2.3057840909020705e-11
(Claude-Opus-4) - (o3-mini),EN,COT,-1.8268897590932949,0.26776185060336655,Inf,-2.6633067245026303,-0.9904727936839594,-6.822815703494117,1.4283704859126922e-10
(DeepSeek-V3-685B) - (GPT-4o),EN,COT,1.2864656322150738,0.22506925337612113,Inf,0.5834090112229525,1.9895222532071952,5.715865729848119,1.309762776630017e-7
(DeepSeek-V3-685B) - (GPT-4o-mini),EN,COT,1.655817190153716,0.2256525591275802,Inf,0.9509384767856949,2.360695903521737,7.337905657066112,4.122278172304774e-12
(DeepSeek-V3-685B) - (Grok-3),EN,COT,1.006245838166734,0.225582496145158,Inf,0.30158598296320904,1.710905693370259,4.460655659733609,8.170928560799281e-5
(DeepSeek-V3-685B) - (Grok-4),EN,COT,-1.7366103240433817,0.27042086352542927,Inf,-2.5813333401998433,-0.8918873078869202,-6.421879959273475,1.8844217133063103e-9
(DeepSeek-V3-685B) - (LLaMA-3.3-70B),EN,COT,1.7222451919597723,0.22591383457819925,Inf,1.016550323418599,2.4279400605009456,7.623460489594866,4.939278299719096e-13
(DeepSeek-V3-685B) - (o3-mini),EN,COT,-1.6919879368660058,0.2692105951280319,Inf,-2.5329303957175306,-0.8510454780144809,-6.284997572481594,4.262164593420733e-9
(GPT-4o) - (GPT-4o-mini),EN,COT,0.36935155793864216,0.21429094996508327,Inf,-0.3000365034322826,1.0387396193095668,1.7235984907380577,0.42390175597472857
(GPT-4o) - (Grok-3),EN,COT,-0.28021979404833974,0.2149133999493791,Inf,-0.9515522239908539,0.39111263589417444,-1.3038730675441501,0.769107457779063
(GPT-4o) - (Grok-4),EN,COT,-3.0230759562584555,0.26434784455940663,Inf,-3.8488284727601387,-2.1973234397567722,-11.435977324865544,6.633760201991417e-29
(GPT-4o) - (LLaMA-3.3-70B),EN,COT,0.4357795597446985,0.2144982633047782,Inf,-0.2342560934847594,1.1058152129741563,2.031622788131875,0.25315114745951955
(GPT-4o) - (o3-mini),EN,COT,-2.9784535690810796,0.2630935750159594,Inf,-3.800288080374136,-2.1566190577880233,-11.320890557287097,2.3785671736496676e-28
(GPT-4o-mini) - (Grok-3),EN,COT,-0.6495713519869819,0.21522147132141617,Inf,-1.3218661151429396,0.022723411168975804,-3.0181531052582513,0.017802426684455645
(GPT-4o-mini) - (Grok-4),EN,COT,-3.392427514197098,0.2650549833136639,Inf,-4.220388944513898,-2.5644660838802973,-12.798957679594075,4.32033056091897e-36
(GPT-4o-mini) - (LLaMA-3.3-70B),EN,COT,0.06642800180605635,0.2145776302784313,Inf,-0.6038555727875057,0.7367115763996184,0.3095756147547198,1
(GPT-4o-mini) - (o3-mini),EN,COT,-3.347805127019722,0.2638075276460796,Inf,-4.171869836867896,-2.523740417171548,-12.690332064788876,1.6725383173549875e-35
(Grok-3) - (Grok-4),EN,COT,-2.7428561622101157,0.26451179461268176,Inf,-3.5691208151708578,-1.9165915092493737,-10.3695041887505,7.508400457065506e-24
(Grok-3) - (LLaMA-3.3-70B),EN,COT,0.7159993537930383,0.21545395140118986,Inf,0.04297838456103098,1.3890203230250455,3.323212914576809,0.007118957268099137
(Grok-3) - (o3-mini),EN,COT,-2.69823377503274,0.26327895866835566,Inf,-3.5206473756606824,-1.8758201744047973,-10.24857356121505,2.5221595947085e-23
(Grok-4) - (LLaMA-3.3-70B),EN,COT,3.4588555160031538,0.26532150885601263,Inf,2.6300615306198525,4.287649501386455,13.036468588305219,2.124962827585468e-37
(Grok-4) - (o3-mini),EN,COT,0.04462238717737588,0.29639889670590414,Inf,-0.8812491108526368,0.9704938852073886,0.15054842535953009,1
(LLaMA-3.3-70B) - (o3-mini),EN,COT,-3.414233128825778,0.26407639708941044,Inf,-4.23913771546512,-2.589328542186436,-12.9289598254773,8.342206094881991e-37
(Claude-Opus-4) - (DeepSeek-V3-685B),ES,COT,0.27795835865263896,0.23525147713463157,Inf,-0.4569048273076476,1.0128215446129256,1.1815371450083043,1
(Claude-Opus-4) - (GPT-4o),ES,COT,1.8009311162927226,0.22834309279080264,Inf,1.0876478897468416,2.5142143428386037,7.886952455105144,5.573795652002796e-14
(Claude-Opus-4) - (GPT-4o-mini),ES,COT,2.0566637442622326,0.2296007578419252,Inf,1.3394519058428118,2.7738755826816535,8.957565138692608,7.302386031769251e-18
(Claude-Opus-4) - (Grok-3),ES,COT,0.539706985320184,0.23234063883552417,Inf,-0.1860635142419078,1.2654774848822758,2.322912547822712,0.14128695639020486
(Claude-Opus-4) - (Grok-4),ES,COT,-1.84781179938582,0.2797759958804992,Inf,-2.7217577664510766,-0.9738658323205637,-6.604611641432872,4.782729170147794e-10
(Claude-Opus-4) - (LLaMA-3.3-70B),ES,COT,1.9409278550919467,0.22891975311358095,Inf,1.2258432947258693,2.656012415458024,8.478638600177655,4.556884201003611e-16
(Claude-Opus-4) - (o3-mini),ES,COT,-1.4363444737186097,0.2687305783896599,Inf,-2.275787487661347,-0.5969014597758726,-5.344923835336324,7.23640648380919e-7
(DeepSeek-V3-685B) - (GPT-4o),ES,COT,1.5229727576400838,0.22393462227012892,Inf,0.823460423126393,2.2224850921537747,6.80097048951611,1.3509172215472976e-10
(DeepSeek-V3-685B) - (GPT-4o-mini),ES,COT,1.7787053856095936,0.22514233208582626,Inf,1.075420486121227,2.48199028509796,7.900359604214881,5.283898555542425e-14
(DeepSeek-V3-685B) - (Grok-3),ES,COT,0.26174862666754506,0.22828472055528728,Inf,-0.45135226050480726,0.9748495138398974,1.1465884621224718,1
(DeepSeek-V3-685B) - (Grok-4),ES,COT,-2.125770158038459,0.27720046089318323,Inf,-2.991670837272226,-1.259869478804692,-7.668710763282626,2.953472963579675e-13
(DeepSeek-V3-685B) - (LLaMA-3.3-70B),ES,COT,1.6629694964393078,0.22450810490028378,Inf,0.9616657543739131,2.3642732385047025,7.407169096090864,1.9353586043536434e-12
(DeepSeek-V3-685B) - (o3-mini),ES,COT,-1.7143028323712486,0.26592157104760666,Inf,-2.54497125280278,-0.8836344119397171,-6.446648256543074,1.2578583049532418e-9
(GPT-4o) - (GPT-4o-mini),ES,COT,0.2557326279695099,0.2152473035186402,Inf,-0.4166428281154938,0.9281080840545136,1.1880874872254263,1
(GPT-4o) - (Grok-3),ES,COT,-1.2612241309725385,0.2204974906395458,Inf,-1.9499997783827954,-0.5724484835622816,-5.719902422990842,9.592672115603681e-8
(GPT-4o) - (Grok-4),ES,COT,-3.6487429156785427,0.2731429327920455,Inf,-4.501968953869273,-2.795516877487812,-13.358364715430785,2.7524725074487527e-39
(GPT-4o) - (LLaMA-3.3-70B),ES,COT,0.13999673879922403,0.214719895290349,Inf,-0.5307312339387488,0.8107247115371968,0.6519970522988442,1
(GPT-4o) - (o3-mini),ES,COT,-3.237275590011332,0.26136206990797123,Inf,-4.0537013388359835,-2.420849841186681,-12.386172144838065,7.141836122826184e-34
(GPT-4o-mini) - (Grok-3),ES,COT,-1.5169567589420485,0.22167455780531362,Inf,-2.2094092518202313,-0.8245042660638656,-6.843170339260677,1.084432346153354e-10
(GPT-4o-mini) - (Grok-4),ES,COT,-3.9044755436480525,0.27427289930544463,Inf,-4.761231297367795,-3.0477197899283106,-14.23573219787867,1.5395519933834633e-44
(GPT-4o-mini) - (LLaMA-3.3-70B),ES,COT,-0.11573588917028588,0.21563209818860704,Inf,-0.7893133416914291,0.5578415633508573,-0.5367284840360599,1
(GPT-4o-mini) - (o3-mini),ES,COT,-3.4930082179808424,0.26251954405869576,Inf,-4.313049608893817,-2.672966827067868,-13.30570731602312,5.361349339153394e-39
(Grok-3) - (Grok-4),ES,COT,-2.387518784706004,0.2752300508564029,Inf,-3.2472644258719425,-1.5277731435400657,-8.674629740746063,8.712861722962394e-17
(Grok-3) - (LLaMA-3.3-70B),ES,COT,1.4012208697717625,0.2210435015854108,Inf,0.7107396290613712,2.091702110482154,6.339118136120972,2.3108400367846824e-9
(Grok-3) - (o3-mini),ES,COT,-1.9760514590387936,0.2637825608008109,Inf,-2.8000381790877915,-1.1520647389897958,-7.491213418505561,1.0918359874958732e-12
(Grok-4) - (LLaMA-3.3-70B),ES,COT,3.7887396544777667,0.2736816996029639,Inf,2.933830651742101,4.643648657213433,13.843598822917919,3.7547837386531874e-42
(Grok-4) - (o3-mini),ES,COT,0.41146732566721045,0.300897745306214,Inf,-0.5284573815321741,1.351392032866595,1.3674656327134433,1
(LLaMA-3.3-70B) - (o3-mini),ES,COT,-3.377272328810556,0.26191870868660394,Inf,-4.195436869464603,-2.559107788156509,-12.894353159214738,1.1623432326564865e-36
(Claude-Opus-4) - (DeepSeek-V3-685B),EN,ZS,-7.061548272803142e-4,0.23414545709944526,Inf,-0.7321144277018234,0.7307021180472628,-0.003015880965738315,1
(Claude-Opus-4) - (GPT-4o),EN,ZS,1.514721778756435,0.22518407704371923,Inf,0.8113064790974568,2.2181370784154133,6.726593632383491,2.778894451624912e-10
(Claude-Opus-4) - (GPT-4o-mini),EN,ZS,1.8411508053380903,0.22644129954359316,Inf,1.1338082762182333,2.5484933344579472,8.130808333325444,8.528743035660295e-15
(Claude-Opus-4) - (Grok-3),EN,ZS,1.0739184548205984,0.2252901020013348,Inf,0.37017196132983776,1.7776649483113591,4.766824841751085,1.867340169865284e-5
(Claude-Opus-4) - (Grok-4),EN,ZS,-1.8266529514078125,0.27273919539125396,Inf,-2.678617821098134,-0.9746880817174911,-6.697434700529254,2.96953941025852e-10
(Claude-Opus-4) - (LLaMA-3.3-70B),EN,ZS,1.7953134068010441,0.22619010501163253,Inf,1.0887555427396207,2.5018712708624675,7.937188086581925,3.7226935462796767e-14
(Claude-Opus-4) - (o3-mini),EN,ZS,-1.602515982918232,0.2668332875274633,Inf,-2.436032363690929,-0.7689996021455354,-6.005682416041499,2.2863457624998395e-8
(DeepSeek-V3-685B) - (GPT-4o),EN,ZS,1.5154279335837153,0.22529290572121416,Inf,0.8116726820160738,2.2191831851513566,6.726478708827886,2.778894451624912e-10
(DeepSeek-V3-685B) - (GPT-4o-mini),EN,ZS,1.8418569601653707,0.22654232295552867,Inf,1.1341988607151774,2.549515059615564,8.130299610845501,8.528743035660295e-15
(DeepSeek-V3-685B) - (Grok-3),EN,ZS,1.0746246096478789,0.22541693704837362,Inf,0.37048191712834433,1.7787673021674135,4.7672753596916655,1.867340169865284e-5
(DeepSeek-V3-685B) - (Grok-4),EN,ZS,-1.8259467965805323,0.272872021473428,Inf,-2.6783265797035507,-0.9735670134575137,-6.691586725238304,2.96953941025852e-10
(DeepSeek-V3-685B) - (LLaMA-3.3-70B),EN,ZS,1.7960195616283245,0.22630007472785668,Inf,1.0891181813560449,2.502920941900604,7.9364514739474865,3.7226935462796767e-14
(DeepSeek-V3-685B) - (o3-mini),EN,ZS,-1.6018098280909516,0.266938983401219,Inf,-2.4356563747247812,-0.767963281457122,-6.0006590557939345,2.2863457624998395e-8
(GPT-4o) - (GPT-4o-mini),EN,ZS,0.32642902658165523,0.21487321135960857,Inf,-0.3447778648712489,0.9976359180345593,1.5191704192261943,0.6435980252826292
(GPT-4o) - (Grok-3),EN,ZS,-0.44080332393583654,0.21464851500132204,Inf,-1.1113083235930534,0.22970167572138023,-2.053605280861699,0.2400834637378697
(GPT-4o) - (Grok-4),EN,ZS,-3.3413747301642474,0.26723356834462914,Inf,-4.176141481987379,-2.5066079783411155,-12.503574123798517,1.7128540679527432e-34
(GPT-4o) - (LLaMA-3.3-70B),EN,ZS,0.28059162804460913,0.21467122517301218,Inf,-0.3899843121623767,0.951167568251595,1.3070761012262777,0.7647474678362193
(GPT-4o) - (o3-mini),EN,ZS,-3.117237761674667,0.2609708349913488,Inf,-3.932441396441673,-2.302034126907661,-11.944774448754028,1.590166118108578e-31
(GPT-4o-mini) - (Grok-3),EN,ZS,-0.7672323505174918,0.21569539053344022,Inf,-1.4410075115280248,-0.0934571895069588,-3.557017832509241,0.0030007096262110932
(GPT-4o-mini) - (Grok-4),EN,ZS,-3.667803756745903,0.26847384424526405,Inf,-4.506444801351004,-2.8291627121408016,-13.661680030905298,4.815156634254129e-41
(GPT-4o-mini) - (LLaMA-3.3-70B),EN,ZS,-0.0458373985370461,0.21549946576044485,Inf,-0.7190005425492352,0.6273257454751429,-0.2127030727213042,1
(GPT-4o-mini) - (o3-mini),EN,ZS,-3.4436667882563223,0.26222706668660584,Inf,-4.262794557473513,-2.6245390190391316,-13.132384966087178,5.58437902473761e-38
(Grok-3) - (Grok-4),EN,ZS,-2.900571406228411,0.26696407519792326,Inf,-3.734496332976543,-2.0666464794802795,-10.865025206398913,3.721882038329128e-26
(Grok-3) - (LLaMA-3.3-70B),EN,ZS,0.7213949519804457,0.21547111859986237,Inf,0.04832035697543946,1.394469546985452,3.347989079316482,0.005698015323969404
(Grok-3) - (o3-mini),EN,ZS,-2.6764344377388305,0.26075011121527303,Inf,-3.4909485900027724,-1.8619202854748884,-10.26436546954793,2.141774218148478e-23
(Grok-4) - (LLaMA-3.3-70B),EN,ZS,3.621966358208857,0.26824668468416957,Inf,2.7840348997913558,4.459897816626358,13.502371380557104,4.088408071581551e-40
(Grok-4) - (o3-mini),EN,ZS,0.22413696848958048,0.2965883987848588,Inf,-0.7023264837469814,1.1506004207261422,0.7557172479027623,1
(LLaMA-3.3-70B) - (o3-mini),EN,ZS,-3.397829389719276,0.26199085876196493,Inf,-4.216219308062309,-2.579439471376243,-12.9692669651746,4.5692462999916535e-37
(Claude-Opus-4) - (DeepSeek-V3-685B),ES,ZS,-0.004344265924652979,0.23899885326825798,Inf,-0.7509132604863975,0.7422247286370915,-0.01817693208668609,1
(Claude-Opus-4) - (GPT-4o),ES,ZS,1.2178486660786245,0.2281146004261282,Inf,0.5052791890450415,1.9304181431122074,5.338758079507533,8.524160761630034e-7
(Claude-Opus-4) - (GPT-4o-mini),ES,ZS,1.9605792982466608,0.22902402063919874,Inf,1.2451690337999928,2.6759895626933288,8.560583701110243,2.1336526292075478e-16
(Claude-Opus-4) - (Grok-3),ES,ZS,0.5380935795549611,0.23229757989373823,Inf,-0.18754241529952898,1.2637295744094512,2.316397699025128,0.0978963637806109
(Claude-Opus-4) - (Grok-4),ES,ZS,-1.8034923217120986,0.27846739357547173,Inf,-2.6733505624398193,-0.9336340809843781,-6.476493705620534,1.4081779630197208e-9
(Claude-Opus-4) - (LLaMA-3.3-70B),ES,ZS,2.1013182287820436,0.22983022281002435,Inf,1.3833896026953254,2.8192468548687617,9.142915161853951,1.2766126412181157e-18
(Claude-Opus-4) - (o3-mini),ES,ZS,-1.5258589173302641,0.2710085852060098,Inf,-2.372417820053347,-0.6793000146071811,-5.630297343423153,2.158790497827096e-7
(DeepSeek-V3-685B) - (GPT-4o),ES,ZS,1.2221929320032774,0.22820557090958002,Inf,0.5093392873201987,1.935046576686356,5.355666503371807,8.524160761630034e-7
(DeepSeek-V3-685B) - (GPT-4o-mini),ES,ZS,1.9649235641713139,0.22909387156443667,Inf,1.2492951039705202,2.6805520243721075,8.576936391852126,1.948669288151388e-16
(DeepSeek-V3-685B) - (Grok-3),ES,ZS,0.5424378454796142,0.23237567259044323,Inf,-0.1834420902359486,1.268317781195177,2.3343142568785518,0.0978963637806109
(DeepSeek-V3-685B) - (Grok-4),ES,ZS,-1.7991480557874457,0.27852021417674644,Inf,-2.6691712940565626,-0.9291248175183289,-6.459667787867356,1.4690631609315124e-9
(DeepSeek-V3-685B) - (LLaMA-3.3-70B),ES,ZS,2.105662494706696,0.22992450543160275,Inf,1.3874393547299158,2.8238856346834766,9.158060341389241,1.1624463069970927e-18
(DeepSeek-V3-685B) - (o3-mini),ES,ZS,-1.5215146514056113,0.2710730632759332,Inf,-2.3682749665086105,-0.6747543363026121,-5.612931926979469,2.1881955884578697e-7
(GPT-4o) - (GPT-4o-mini),ES,ZS,0.7427306321680365,0.21557261019906768,Inf,0.0693390043399057,1.4161222599961674,3.445384974845235,0.003991726248277743
(GPT-4o) - (Grok-3),ES,ZS,-0.6797550865236633,0.2205113435031502,Inf,-1.3685740066036902,0.009063833556363643,-3.082630923764484,0.012310767172790687
(GPT-4o) - (Grok-4),ES,ZS,-3.0213409877907234,0.27116673142649894,Inf,-3.868393897339403,-2.1742880782420437,-11.142004669587104,1.8800620061695987e-27
(GPT-4o) - (LLaMA-3.3-70B),ES,ZS,0.8834695627034189,0.21633842094222575,Inf,0.20768574533661122,1.5592533800702266,4.083738611272169,3.545350286286252e-4
(GPT-4o) - (o3-mini),ES,ZS,-2.743707583408889,0.2632360442973776,Inf,-3.565987130930069,-1.921428035887709,-10.42299351797478,4.4786956238781976e-24
(GPT-4o-mini) - (Grok-3),ES,ZS,-1.4224857186916997,0.22115442299007956,Inf,-2.113313448435099,-0.7316579889483005,-6.432092559846786,1.6361677118706436e-9
(GPT-4o-mini) - (Grok-4),ES,ZS,-3.7640716199587594,0.27240269510075,Inf,-4.614985352038519,-2.913157887878999,-13.818041038715098,5.356682543277126e-42
(GPT-4o-mini) - (LLaMA-3.3-70B),ES,ZS,0.14073893053538244,0.21597897962591486,Inf,-0.5339220875440958,0.8153999486148606,0.6516325374772513,1
(GPT-4o-mini) - (o3-mini),ES,ZS,-3.486438215576925,0.26446258090253916,Inf,-4.312549137967007,-2.660327293186842,-13.183105918722624,2.744414076634326e-38
(Grok-3) - (Grok-4),ES,ZS,-2.34158590126706,0.2738609433896559,Inf,-3.197054814026486,-1.486116988507634,-8.550273260161072,2.2103538862333443e-16
(Grok-3) - (LLaMA-3.3-70B),ES,ZS,1.5632246492270823,0.22196690537483316,Inf,0.8698589401219001,2.2565903583322644,7.042602349153273,3.0189142554247074e-11
(Grok-3) - (o3-mini),ES,ZS,-2.0639524968852254,0.2661270606900472,Inf,-2.895262812429021,-1.2326421813414297,-7.755515322393573,1.4957527085953955e-13
(Grok-4) - (LLaMA-3.3-70B),ES,ZS,3.904810550494142,0.2731672645412221,Inf,3.051508506375892,4.758112594612392,14.2945771963276,6.623063561108009e-45
(Grok-4) - (o3-mini),ES,ZS,0.2776334043818345,0.30147358022519277,Inf,-0.6640900582953138,1.2193568670589827,0.9209211771540633,1
(LLaMA-3.3-70B) - (o3-mini),ES,ZS,-3.6271771461123077,0.2652419485316977,Inf,-4.455722606155346,-2.798631686069269,-13.674975493851202,3.724644020286215e-41
